"Journey","Train ID","Lateness (mins)"
"15:28 from Brighton to London Victoria C (16:24)","X07801","31"
"15:32 from Horsham to Bognor Regis (16:17)","X08323","9"
"15:33 from Brighton to Southampton Central (17:19)","X08184","6"
"15:33 from Sutton Surrey to London Victoria C (16:23)","X09395","5"
"15:36 from Haywards Heath to Littlehampton (16:29)","X08099","6"
"15:39 from London Victoria C to Tonbridge (16:39)","X08277","5"
"15:47 from London Victoria C to Ore (17:49)","X07974","5"
"15:50 from London Victoria C to Brighton (16:46)","X07798","7"
"15:54 from Caterham to London Victoria C (16:46)","X09258","8"
"15:55 from West Croydon to London Bridge C (16:37)","X09006","5"
"15:57 from Littlehampton to Portsmouth  Southsea (16:50)","X09200","5"
"15:58 from Brighton to London Victoria C (16:54)","X07805","7"
"15:59 from Portsmouth  Southsea to Littlehampton (16:53)","X09412","20"
"16:03 from Brighton to Portsmouth Harbour (17:22)","X09172","5"
"16:06 from Bognor Regis to Littlehampton (16:26)","X07128","7"
"16:06 from London Victoria C to Portsmouth Harbour (18:03)","X07850","15"
"16:07 from Caterham to London Bridge C (17:02)","X08828","10"
"16:07 from East Grinstead to London Victoria C (17:04)","X09092","5"
"16:12 from Portsmouth Harbour to Horsham (17:16)","X07881","18"
"16:13 from Southampton Central to Horsham (17:45)","X07883","6"
"16:14 from Littlehampton to London Victoria C (17:57)","X08116","13"
"16:14 from Reigate to London Victoria C (16:51)","X08294","8"
"16:30 from Bognor Regis to London Victoria C (18:10)","X07880","23"
"16:33 from Brighton to Southampton Central (18:27)","X23188","5"
"16:40 from London Bridge C to West Croydon (17:19)","X09011","9"
"16:50 from London Victoria C to Brighton (17:46)","X07806","20"
"16:55 from Eastbourne to London Victoria C (18:27)","X07985","8"
"16:55 from London Bridge C to Beckenham Junction C (17:31)","X09877","7"
"16:55 from Ore to Haywards Heath (18:10)","X07987","5"
"16:56 from Bognor Regis to London Victoria C (18:40)","X07882","7"
"16:57 from Littlehampton to Portsmouth  Southsea (17:50)","X09201","6"
"16:57 from London Bridge C to Horsham (18:10)","X08388","6"
"16:59 from Portsmouth  Southsea to Littlehampton (17:53)","X09413","9"
"17:02 from Horsham to Bognor Regis (17:44)","X08310","11"
"17:03 from London Victoria C to Sutton Surrey (17:48)","X09353","6"
"17:04 from Epsom to London Victoria C (17:58)","X09357","7"
"17:06 from Bognor Regis to Littlehampton (17:23)","X09245","7"
"17:09 from London Victoria C to Reigate (17:43)","X08232","10"
"17:13 from Brighton to Littlehampton (17:45)","X07111",""
"17:13 from Southampton Central to Horsham (18:45)","X07889","11"
"17:14 from Littlehampton to London Victoria C (18:57)","X08120","9"
"17:17 from London Victoria C to Littlehampton (18:55)","X08112","25"
"17:19 from Tonbridge to London Victoria C (18:21)","X08298","5"
"17:20 from London Victoria C to Brighton (18:16)","X07810","12"
"17:28 from Brighton to London Victoria C (18:24)","X07817","5"
"17:36 from Haywards Heath to Littlehampton (18:29)","X08107","16"
"17:36 from London Victoria C to Southampton Central (20:01)","X08151","9"
"17:37 from East Grinstead to London Victoria C (18:34)","X09098","21"
"17:50 from London Victoria C to Brighton (18:46)","X07814","5"
"17:54 from Caterham to London Victoria C (18:46)","X09264","7"
"17:55 from Eastbourne to London Victoria C (19:27)","X07989","12"
"17:56 from Bognor Regis to London Victoria C (19:50)","X07888","11"
"17:58 from Brighton to London Victoria C (18:54)","X07714","22"
"18:02 from Horsham to Bognor Regis (18:44)","X08311","28"
"18:06 from Haywards Heath to Eastbourne (18:46)","X07980","9"
"18:12 from Portsmouth Harbour to Littlehampton (19:02)","X09414","12"
"18:14 from Littlehampton to London Victoria C (19:57)","X08123","8"
"18:14 from Reigate to London Victoria C (18:51)","X08299","7"
"18:17 from London Victoria C to Littlehampton (19:57)","X08117","8"
"18:20 from London Victoria C to Brighton (19:16)","X07818","9"
"18:23 from Brighton to Littlehampton (19:09)","X08475","7"
"18:23 from London Victoria C to East Grinstead (19:18)","X09101","10"
"18:28 from Brighton to London Victoria C (19:24)","X07722","9"
"18:32 from Horsham to Bognor Regis (19:17)","X08326","13"
"18:33 from Bognor Regis to Haywards Heath (19:38)","X08126","5"
"18:33 from Brighton to Southampton Central (20:27)","X08256","5"
"18:36 from Haywards Heath to Littlehampton (19:29)","X08114","7"
"18:36 from London Victoria C to Southampton Central (21:05)","X08152","13"
"18:51 from Bognor Regis to Bognor Sidings (18:59)","X09484",""
"18:57 from Littlehampton to Portsmouth  Southsea (19:50)","X09203","5"
"18:58 from Brighton to London Victoria C (19:54)","X07730","9"
"18:59 from Portsmouth  Southsea to Littlehampton (19:53)","X09955","6"
"19:02 from Horsham to Bognor Regis (19:44)","X08312","27"
