"Journey","Train ID","Lateness (mins)"
"19:52 from Bognor Regis to Bognor Sidings (20:01)","X30037",""
"19:54 from Caterham to London Victoria C (20:46)","X29374","12"
"19:54 from Sutton Surrey to London Victoria C (20:36)","X29433","7"
"19:55 from Eastbourne to London Victoria C (21:28)","X26958","9"
"19:55 from Ore to Haywards Heath (21:11)","X26959","5"
"19:55 from West Croydon to London Bridge C (20:37)","X28803","6"
"19:56 from Brighton to Chichester (20:51)","X29173","13"
"19:57 from London Bridge C to Horsham (21:11)","X27572","5"
"19:59 from Chichester to Brighton (20:50)","X29179","7"
"20:02 from London Victoria C to Chichester (21:34)","X31529","30"
"20:06 from Haywards Heath to Hastings (21:24)","X26943","5"
"20:09 from Redhill to Tonbridge (20:39)","X27777","5"
"20:14 from Littlehampton to London Victoria C (21:58)","X27160","12"
"20:17 from London Victoria C to Littlehampton (21:57)","X27149","16"
"20:18 from Chichester to Littlehampton (20:39)","X29785","7"
"20:18 from Tattenham Corner to London Bridge C (21:12)","X27062","11"
"20:20 from London Bridge C to Tattenham Corner (21:10)","X27329","7"
"20:25 from Caterham to London Victoria C (21:16)","X29377","12"
"20:27 from London Bridge C to Horsham (21:40)","X27579","6"
"20:35 from Epsom Downs to London Victoria C (21:28)","X29453","7"
"20:36 from Haywards Heath to Littlehampton (21:29)","X27148","6"
"20:37 from Caterham to London Bridge C (21:35)","X28549","14"
"20:37 from East Grinstead to London Victoria C (21:35)","X29056","5"
"20:40 from Bognor Regis to London Victoria C (22:27)","X27163","21"
"20:40 from London Bridge C to West Croydon (21:19)","X28800","8"
"20:44 from London Bridge C to London Victoria C (21:39)","X28352","5"
"20:45 from Littlehampton to Horsham (21:17)","X30055","43"
"20:46 from Streatham Hill Shed to London Bridge C (21:18)","X30496","10"
"20:50 from London Victoria C to Brighton (21:48)","X26440","5"
"20:54 from Caterham to London Victoria C (21:46)","X29379","9"
"20:54 from Littlehampton to Brighton (21:40)","X27976","8"
"20:58 from Brighton to London Victoria C (21:55)","X26466","9"
"20:59 from Chichester to Brighton (21:49)","X29182","7"
"21:02 from London Victoria C to Horsham (21:59)","X26680","23"
"21:03 from Horsham to Bognor Regis (21:46)","X27527","22"
"21:04 from Epsom to London Victoria C (21:58)","X29466","5"
"21:06 from Haywards Heath to Eastbourne (21:50)","X26949","15"
"21:14 from Littlehampton to London Victoria C (22:59)","X27167","12"
"21:20 from Horsham to London Victoria C (22:20)","X26645","39"
"21:24 from Caterham to London Victoria C (22:16)","X29381","5"
"21:28 from Brighton to London Victoria C (22:24)","X26477","6"
"21:29 from Bognor Regis to Bognor Sidings (21:38)","X30017",""
"21:30 from Horsham to London Bridge C (22:48)","X27609","7"
"21:33 from Southampton Central to Barnham (22:41)","X29188","13"
"21:46 from Brighton to Lovers Walk TR.S.M.D (22:06)","X30285",""
"21:50 from London Bridge C to Tattenham Corner (22:40)","X27334","6"
"21:52 from Chichester to Brighton (22:48)","X29205","28"
"21:58 from Brighton to London Victoria C (22:56)","X26489","11"
"22:00 from Bognor Regis to Barnham (22:06)","X28679","12"
"22:02 from London Victoria C to Horsham (22:59)","X26687","14"
"22:10 from London Bridge C to West Croydon (22:49)","X28820","5"
"22:14 from London Bridge C to London Victoria C (23:09)","X28376","6"
